Branchcode,Branchname,Bic
44070024,Deutsche Bank PGK Dortmund,DEUTDEDB440
44070024,Deutsche Bank PGK Castrop-R,DEUTDEDB441
44070024,Deutsche Bank PGK Lünen,DEUTDEDB442
44070024,Deutsche Bank PGK Unna,DEUTDEDB443
44070024,Deutsche Bank PGK Schwerte,DEUTDEDB444
44570024,Deutsche Bank PGK Iserlohn,DEUTDEDB445
44570024,Deutsche Bank PGK Altena,DEUTDEDB446
44070024,Deutsche Bank PGK Waltrop,DEUTDEDB447
44070024,Deutsche Bank PGK Werne,DEUTDEDB448
44570024,Deutsche Bank PGK Plettenbe,DEUTDEDB449
45070024,Deutsche Bank PGK Hagen,DEUTDEDB450
45070024,Deutsche Bank PGK Lüdensche,DEUTDEDB451
45070024,Deutsche Bank PGK Herdecke,DEUTDEDB453
45070024,Deutsche Bank PGK Gevelsber,DEUTDEDB454
45070024,Deutsche Bank PGK Kierspe,DEUTDEDB456
46070024,Deutsche Bank PGK Siegen,DEUTDEDB460
46070024,Deutsche Bank PGK Biedenkop,DEUTDEDB461
46070024,Deutsche Bank PGK Olpe,DEUTDEDB462
46070024,Deutsche Bank PGK Bad Berle,DEUTDEDB463
46070024,Deutsche Bank PGK Wissen,DEUTDEDB464
46070024,Deutsche Bank PGK Neunkirch,DEUTDEDB465
46070024,Deutsche Bank PGK Betzdorf,DEUTDEDB466
46670024,Deutsche Bank PGK Sundern,DEUTDEDB467
46670024,Deutsche Bank PGK Meschede,DEUTDEDB468
46070024,Deutsche Bank PGK Laasphe,DEUTDEDB469
46070024,Deutsche Bank PGK Freudenb,DEUTDEDB470
46070024,Deutsche Bank PGK Herborn,DEUTDEDB471
47270024,Deutsche Bank PGK Paderborn,DEUTDEDB472
47270024,Deutsche Bank PGK Bad Dribu,DEUTDEDB473
47270024,Deutsche Bank PGK Bad Lipps,DEUTDEDB474
47270024,Deutsche Bank PGK Geseke,DEUTDEDB475
47670024,Deutsche Bank PGK Detmold,DEUTDEDB476
47670024,Deutsche Bank PGK Bad Salzu,DEUTDEDB477
47670024,Deutsche Bank PGK Lemgo,DEUTDEDB478
48070024,Deutsche Bank PGK Gütersloh,DEUTDEDB480
48070024,Deutsche Bank PGK Herford,DEUTDEDB481
48070024,Deutsche Bank PGK Halle Wes,DEUTDEDB483
48070024,Deutsche Bank PGK Harsewink,DEUTDEDB484
48070024,Deutsche Bank PGK Oelde,DEUTDEDB485
48070024,Deutsche Bank PGK Oerlingha,DEUTDEDB486
48070024,Deutsche Bank PGK Rheda-Wie,DEUTDEDB487
48070024,Deutsche Bank PGK Spenge,DEUTDEDB488
48070024,Deutsche Bank PGK Verl,DEUTDEDB489
49070024,Deutsche Bank PGK Minden,DEUTDEDB490
49070024,Deutsche Bank PGK Bad Oeynh,DEUTDEDB491
48070024,Deutsche Bank PGK Bünde Wes,DEUTDEDB492
49070024,Deutsche Bank PGK Espelkamp,DEUTDEDB493
49070024,Deutsche Bank PGK Löhne,DEUTDEDB494
49070024,Deutsche Bank PGK Lübbecke,DEUTDEDB495
50070024,Deutsche Bank PGK Bad Hombu,DEUTDEDB500
50073024,Deutsche Bank PGK Rüsselshe,DEUTDEDB502
50070024,Deutsche Bank PGK Friedbg,DEUTDEDB503
50070024,Deutsche Bank PGK Oberursel,DEUTDEDB504
50570024,Deutsche Bank PGK Offenbach,DEUTDEDB505
50670024,Deutsche Bank PGK Hanau,DEUTDEDB506
50570024,Deutsche Bank PGK Neu-Isenb,DEUTDEDB507
50870024,Deutsche Bank PGK Darmstadt,DEUTDEDB508
50970024,Deutsche Bank PGK Bensheim,DEUTDEDB509
51070024,Deutsche Bank PGK Wiesbaden,DEUTDEDB510
51170024,Deutsche Bank PGK Limburg,DEUTDEDB511
51070024,Deutsche Bank PGK Eltville,DEUTDEDB512
51370024,Deutsche Bank PGK Gießen,DEUTDEDB513
51070024,Deutsche Bank PGK Taunusste,DEUTDEDB514
51570024,Deutsche Bank PGK Wetzlar,DEUTDEDB515
46070024,Deutsche Bank PGK Dillenbur,DEUTDEDB516
53270024,Deutsche Bank PGK Bad Hersf,DEUTDEDB518
50970024,Deutsche Bank PGK Heppenhei,DEUTDEDB519
52070024,Deutsche Bank PGK Kassel,DEUTDEDB520
52071224,Deutsche Bank PGK Bad Wildu,DEUTDEDB521
52270024,Deutsche Bank PGK Eschwege,DEUTDEDB522
52070024,Deutsche Bank PGK Baunatal,DEUTDEDB523
52070024,Deutsche Bank PGK Hann Münd,DEUTDEDB524
50570024,Deutsche Bank PGK Rodgau,DEUTDEDB525
50570024,Deutsche Bank PGK Obertshau,DEUTDEDB526
50570024,Deutsche Bank PGK Mühlheim,DEUTDEDB527
50570024,Deutsche Bank PGK Langen,DEUTDEDB528
50570024,Deutsche Bank PGK Heusensta,DEUTDEDB529
53070024,Deutsche Bank PGK Fulda,DEUTDEDB530
53070024,Deutsche Bank PGK Alsfeld,DEUTDEDB531
53370024,Deutsche Bank PGK Marburg,DEUTDEDB533
53070024,Deutsche Bank PGK Lauterba,DEUTDEDB534
50070024,Deutsche Bank PGK Königstei,DEUTDEDB535
50070024,Deutsche Bank PGK Kronberg,DEUTDEDB536
50073024,Deutsche Bank PGK Raunheim,DEUTDEDB537
50570024,Deutsche Bank PGK Dietzenb,DEUTDEDB538
50570024,Deutsche Bank PGK Dreieich,DEUTDEDB539
54070024,Deutsche Bank PGK Kaisersla,DEUTDEDB540
54070024,Deutsche Bank PGK Landstuhl,DEUTDEDB541
54270024,Deutsche Bank PGK Pirmasens,DEUTDEDB542
54270024,Deutsche Bank PGK Zweibrück,DEUTDEDB543
54570024,Deutsche Bank PGK Frankenth,DEUTDEDB544
54570024,Deutsche Bank PGK Ludwigsha,DEUTDEDB545
54670024,Deutsche Bank PGK Neustadt,DEUTDEDB546
54570024,Deutsche Bank PGK Speyer,DEUTDEDB547
54670024,Deutsche Bank PGK Landau,DEUTDEDB548
54570024,Deutsche Bank PGK Alzey,DEUTDEDB549
54570024,Deutsche Bank PGK Limburger,DEUTDEDB550
55070024,Deutsche Bank PGK Ingelheim,DEUTDEDB551
54670024,Deutsche Bank PGK Bad Dürkh,DEUTDEDB552
54570024,Deutsche Bank PGK Worms,DEUTDEDB553
50870024,Deutsche Bank PGK Griesheim,DEUTDEDB554
50870024,Deutsche Bank PGK Groß-Gera,DEUTDEDB555
56070024,Deutsche Bank PGK Bad Kreuz,DEUTDEDB560
55070024,Deutsche Bank PGK Ginsheim-,DEUTDEDB561
56270024,Deutsche Bank PGK I-Oberst,DEUTDEDB562
55070024,"Deutsche Bank PGK Bingen, R",DEUTDEDB563
57070024,Deutsche Bank PGK Koblenz,DEUTDEDB570
57070024,Deutsche Bank PGK Boppard,DEUTDEDB571
57070024,Deutsche Bank PGK Bendorf,DEUTDEDB572
57070024,Deutsche Bank PGK Lahnstein,DEUTDEDB573
57470024,Deutsche Bank PGK Neuwied,DEUTDEDB574
57470024,Deutsche Bank PGK Andernach,DEUTDEDB575
57470024,Deutsche Bank PGK Mayen,DEUTDEDB576
57070024,Deutsche Bank PGK Höhr-Gren,DEUTDEDB577
57070024,Deutsche Bank PGK Montabaur,DEUTDEDB578
57470024,Deutsche Bank PGK Weißenthu,DEUTDEDB579
58570024,Deutsche Bank PGK Konz,DEUTDEDB580
58570024,Deutsche Bank PGK Trier,DEUTDEDB585
58570024,Deutsche Bank PGK Wittlich,DEUTDEDB586
58771224,Deutsche Bank PGK Bernkast-,DEUTDEDB587
58771224,Deutsche Bank PGK Zell Mose,DEUTDEDB588
58771224,Deutsche Bank PGK Traben-Tr,DEUTDEDB589
59070070,Deutsche Bank PGK Saar,DEUTDEDB590
59070070,Deutsche Bank PGK Saar,DEUTDEDB595
60070024,Deutsche Bank PGK Böblingen,DEUTDEDB602
65370024,Deutsche Bank PGK Tuttlinge,DEUTDEDB603
60470024,Deutsche Bank PGK Ludwigsbu,DEUTDEDB604
60070024,Deutsche Bank PGK Sindelfi,DEUTDEDB605
60270024,Deutsche Bank PGK Waiblinge,DEUTDEDB606
60470024,Deutsche Bank PGK Asperg,DEUTDEDB608
60070024,Deutsche Bank PGK Leinfelde,DEUTDEDB609
61070024,Deutsche Bank PGK Göppingen,DEUTDEDB610
61170024,Deutsche Bank PGK Esslingen,DEUTDEDB611
61170024,Deutsche Bank PGK Nürtingen,DEUTDEDB612
61370024,Deutsche Bank PGK Schwäb Gm,DEUTDEDB613
61370024,Deutsche Bank PGK Aalen,DEUTDEDB614
61370024,Deutsche Bank PGK Heidenhei,DEUTDEDB615
61370024,Deutsche Bank PGK Schorndor,DEUTDEDB616
60470024,Deutsche Bank PGK Kornwesth,DEUTDEDB617
61070024,Deutsche Bank PGK Geislinge,DEUTDEDB618
61170024,Deutsche Bank PGK Kirchheim,DEUTDEDB619
62070024,Deutsche Bank PGK Heilbronn,DEUTDEDB620
62070024,Deutsche Bank PGK Neckarsul,DEUTDEDB621
62070024,Deutsche Bank PGK Schwäb Ha,DEUTDEDB622
60470024,Deutsche Bank PGK Marbach,DEUTDEDB623
60070024,Deutsche Bank PGK Leonberg,DEUTDEDB624
61170024,Deutsche Bank PGK Plochinge,DEUTDEDB626
61070024,Deutsche Bank PGK Eislingen,DEUTDEDB627
62070024,Deutsche Bank PGK Künzelsau,DEUTDEDB628
62070024,Deutsche Bank PGK Öhringen,DEUTDEDB629
63070024,Deutsche Bank PGK Ulm Donau,DEUTDEDB630
63070024,Deutsche Bank PGK Biberach,DEUTDEDB631
63070024,Deutsche Bank PGK Neu-Ulm,DEUTDEDB632
61370024,Deutsche Bank PGK Nördlinge,DEUTDEDB633
64070024,Deutsche Bank PGK Metzingen,DEUTDEDB634
60470024,Deutsche Bank PGK Bietighei,DEUTDEDB635
64070024,Deutsche Bank PGK Pfullinge,DEUTDEDB636
61370024,Deutsche Bank PGK Crailshei,DEUTDEDB637
61370024,Deutsche Bank PGK Ellwangen,DEUTDEDB638
61370024,Deutsche Bank PGK Giengen,DEUTDEDB639
64070024,Deutsche Bank PGK Reutlinge,DEUTDEDB640
64070024,Deutsche Bank PGK Tübingen,DEUTDEDB641
69470024,Deutsche Bank PGK Rottweil,DEUTDEDB642
64070024,Deutsche Bank PGK Nagold,DEUTDEDB643
69470024,Deutsche Bank PGK Spaiching,DEUTDEDB644
64070024,Deutsche Bank PGK Rottenbur,DEUTDEDB645
64070024,Deutsche Bank PGK Freudenst,DEUTDEDB646
60070024,Deutsche Bank PGK Gerlingen,DEUTDEDB647
60470024,Deutsche Bank PGK Markgröni,DEUTDEDB648
65070024,Deutsche Bank PGK Tettnang,DEUTDEDB649
65070024,Deutsche Bank PGK Ravensbur,DEUTDEDB650
65070024,Deutsche Bank PGK Friedrich,DEUTDEDB651
65070024,Deutsche Bank PGK Leutkirch,DEUTDEDB652
65370024,Deutsche Bank PGK Albstadt,DEUTDEDB653
65070024,Deutsche Bank PGK Lindau,DEUTDEDB654
65370024,Deutsche Bank PGK Balingen,DEUTDEDB655
65070024,Deutsche Bank PGK Wangen,DEUTDEDB657
65070024,Deutsche Bank PGK Weingarte,DEUTDEDB658
60670024,Deutsche Bank PGK Untertürk,DEUTDEDB659
66070024,Deutsche Bank PGK Karlsruhe,DEUTDEDB660
66070024,Deutsche Bank PGK Bruchsal,DEUTDEDB661
66270024,Deutsche Bank PGK Baden-Bad,DEUTDEDB662
66070024,Deutsche Bank PGK Bretten,DEUTDEDB663
66070024,Deutsche Bank PGK Ettlingen,DEUTDEDB664
66270024,Deutsche Bank PGK Rastatt,DEUTDEDB665
66670024,Deutsche Bank PGK Pforzheim,DEUTDEDB666
66270024,Deutsche Bank PGK Gernsbach,DEUTDEDB667
66270024,Deutsche Bank PGK Bühl,DEUTDEDB669
67070024,Deutsche Bank PGK Weinheim,DEUTDEDB670
66270024,Deutsche Bank PGK Gaggenau,DEUTDEDB671
67270024,Deutsche Bank PGK Heidelber,DEUTDEDB672
67070024,Deutsche Bank PGK Schwetzin,DEUTDEDB673
67270024,Deutsche Bank PGK Mosbach,DEUTDEDB674
67070024,Deutsche Bank PGK Viernheim,DEUTDEDB675
67070024,Deutsche Bank PGK Hockenhei,DEUTDEDB676
66670024,Deutsche Bank PGK Mühlacker,DEUTDEDB677
67270024,Deutsche Bank PGK Wiesloch,DEUTDEDB678
68370024,Deutsche Bank PGK Weil Rhei,DEUTDEDB679
68370024,Deutsche Bank PGK Wehr Bade,DEUTDEDB680
68070024,Deutsche Bank PGK Emmending,DEUTDEDB681
68270024,Deutsche Bank PGK Lahr,DEUTDEDB682
68370024,Deutsche Bank PGK Lörrach,DEUTDEDB683
68370024,Deutsche Bank PGK Bad Säcki,DEUTDEDB684
68070024,Deutsche Bank PGK Müllheim,DEUTDEDB685
68370024,Deutsche Bank PGK Rheinfeld,DEUTDEDB686
68070024,Deutsche Bank PGK Waldkirch,DEUTDEDB687
68370024,Deutsche Bank PGK Grenzach-,DEUTDEDB688
68070024,Deutsche Bank PGK Titisee-N,DEUTDEDB689
69070024,Deutsche Bank PGK Konstanz,DEUTDEDB690
69070024,Deutsche Bank PGK Überlinge,DEUTDEDB691
69270024,Deutsche Bank PGK Singen,DEUTDEDB692
68370024,Deutsche Bank PGK Schopfhei,DEUTDEDB693
69470024,Deutsche Bank PGK Villingen,DEUTDEDB694
69270024,Deutsche Bank PGK Radolfzel,DEUTDEDB696
69470024,Deutsche Bank PGK Triberg,DEUTDEDB697
69470024,Deutsche Bank PGK Donauesch,DEUTDEDB698
69470024,Deutsche Bank PGK Sankt Geo,DEUTDEDB699
70070024,Deutsche Bank PGK Bad Tölz,DEUTDEDB700
70070024,Deutsche Bank PGK Garmisch-,DEUTDEDB701
70070024,Deutsche Bank PGK Landsberg,DEUTDEDB702
70070024,Deutsche Bank PGK Landshut,DEUTDEDB703
70070024,Deutsche Bank PGK Mühldorf,DEUTDEDB704
70070024,Deutsche Bank PGK Rosenheim,DEUTDEDB705
70070024,Deutsche Bank PGK Dachau,DEUTDEDB706
70070024,Deutsche Bank PGK Freising,DEUTDEDB707
70070024,Deutsche Bank PGK Fürstenfe,DEUTDEDB708
70070024,Deutsche Bank PGK Starnberg,DEUTDEDB709
70070024,Deutsche Bank PGK Bad Reich,DEUTDEDB710
70070024,Deutsche Bank PGK Weilheim,DEUTDEDB711
70070024,Deutsche Bank PGK Erding,DEUTDEDB712
70070024,Deutsche Bank PGK Germering,DEUTDEDB713
70070024,Deutsche Bank PGK Grünwald,DEUTDEDB714
70070024,Deutsche Bank PGK Ottobrunn,DEUTDEDB715
70070024,Deutsche Bank PGK Planegg,DEUTDEDB716
70070024,Deutsche Bank PGK Rottach-E,DEUTDEDB717
72070024,Deutsche Bank PGK Augsburg,DEUTDEDB720
72170024,Deutsche Bank PGK Ingolstad,DEUTDEDB721
72170024,Deutsche Bank PGK Neuburg,DEUTDEDB722
72070024,Deutsche Bank PGK Bad Wöris,DEUTDEDB723
72070024,Deutsche Bank PGK Dillingen,DEUTDEDB724
72070024,Deutsche Bank PGK Gersthofe,DEUTDEDB725
72070024,Deutsche Bank PGK Günzburg,DEUTDEDB726
72070024,Deutsche Bank PGK Königsbru,DEUTDEDB727
72170024,Deutsche Bank PGK Pfaffenho,DEUTDEDB728
72170024,Deutsche Bank PGK Vohburg,DEUTDEDB729
73370024,Deutsche Bank PGK Kempten,DEUTDEDB733
73370024,Deutsche Bank PGK Memmingen,DEUTDEDB734
73370024,Deutsche Bank PGK Sonthofen,DEUTDEDB735
73370024,Deutsche Bank PGK Marktober,DEUTDEDB736
73370024,Deutsche Bank PGK Kaufbeure,DEUTDEDB737
75070024,Deutsche Bank PGK Deggendor,DEUTDEDB741
75070024,Deutsche Bank PGK Regensbur,DEUTDEDB750
75070024,Deutsche Bank PGK Straubing,DEUTDEDB751
75070024,Deutsche Bank PGK Passau,DEUTDEDB752
76070024,Deutsche Bank PGK Nürnberg,DEUTDEDB760
76070024,Deutsche Bank PGK Ansbach,DEUTDEDB761
76070024,Deutsche Bank PGK Bamberg,DEUTDEDB762
76070024,Deutsche Bank PGK Erlangen,DEUTDEDB763
76070024,Deutsche Bank PGK Fürth Bay,DEUTDEDB764
76070024,Deutsche Bank PGK Amberg,DEUTDEDB765
76070024,Deutsche Bank PGK Weiden,DEUTDEDB766
76070024,Deutsche Bank PGK Neumarkt,DEUTDEDB767
76070024,Deutsche Bank PGK Forchheim,DEUTDEDB768
76070024,Deutsche Bank PGK Zirndorf,DEUTDEDB769
76070024,Deutsche Bank PGK Schwabach,DEUTDEDB771
76070024,Deutsche Bank PGK Lauf,DEUTDEDB772
76070024,Deutsche Bank PGK Bayreuth,DEUTDEDB773
76070024,Deutsche Bank PGK Kulmbach,DEUTDEDB774
76070024,Deutsche Bank PGK Coburg,DEUTDEDB783
79070024,Deutsche Bank PGK Würzburg,DEUTDEDB790
79070024,Deutsche Bank PGK Schweinfu,DEUTDEDB791
79070024,Deutsche Bank PGK Bad Merge,DEUTDEDB792
79570024,Deutsche Bank PGK Aschaffen,DEUTDEDB795
79570024,Deutsche Bank PGK Miltenber,DEUTDEDB796
81070024,Deutsche Bank PGK Schöneb,DEUTDEDB801
81070024,Deutsche Bank PGK Staßfurt,DEUTDEDB802
81070024,Deutsche Bank PGK Stendal,DEUTDEDB803
81070024,Deutsche Bank PGK Wernigero,DEUTDEDB804
81070024,Deutsche Bank PGK Zerbst,DEUTDEDB806
81070024,Deutsche Bank PGK Gardelege,DEUTDEDB811
81070024,Deutsche Bank PGK Genthin,DEUTDEDB812
81070024,Deutsche Bank PGK Burg Magd,DEUTDEDB814
81070024,Deutsche Bank PGK Blankenbu,DEUTDEDB815
81070024,Deutsche Bank PGK Halbersta,DEUTDEDB816
81070024,Deutsche Bank PGK Haldensle,DEUTDEDB817
81070024,Deutsche Bank PGK Oschersle,DEUTDEDB818
81070024,Deutsche Bank PGK Salzwedel,DEUTDEDB819
82070024,Deutsche Bank PGK Weimar,DEUTDEDB820
82070024,Deutsche Bank PGK Worbis,DEUTDEDB821
82070024,Deutsche Bank PGK Sondersha,DEUTDEDB822
82070024,Deutsche Bank PGK Sömmerda,DEUTDEDB823
82070024,Deutsche Bank PGK Nordhause,DEUTDEDB824
82070024,Deutsche Bank PGK Mühlhause,DEUTDEDB825
82070024,Deutsche Bank PGK Leinefeld,DEUTDEDB826
82070024,Deutsche Bank PGK Gotha,DEUTDEDB827
82070024,Deutsche Bank PGK Apolda,DEUTDEDB828
82070024,Deutsche Bank PGK Bad Lange,DEUTDEDB829
82070024,Deutsche Bank PGK Gera,DEUTDEDB830
82070024,Deutsche Bank PGK Jena,DEUTDEDB831
82070024,Deutsche Bank PGK Eisenberg,DEUTDEDB832
82070024,Deutsche Bank PGK Greiz,DEUTDEDB833
82070024,Deutsche Bank PGK Pößneck,DEUTDEDB835
82070024,Deutsche Bank PGK Zeulenrod,DEUTDEDB836
82070024,Deutsche Bank PGK Suhl,DEUTDEDB840
82070024,Deutsche Bank PGK Arnstadt,DEUTDEDB841
82070024,Deutsche Bank PGK Bad Salzu,DEUTDEDB842
82070024,Deutsche Bank PGK Eisenach,DEUTDEDB843
82070024,Deutsche Bank PGK Ilmenau,DEUTDEDB844
82070024,Deutsche Bank PGK Meiningen,DEUTDEDB845
82070024,Deutsche Bank PGK Ohrdruf,DEUTDEDB846
82070024,Deutsche Bank PGK Rudolstad,DEUTDEDB847
82070024,Deutsche Bank PGK Saalfeld,DEUTDEDB848
82070024,Deutsche Bank PGK Schmalkal,DEUTDEDB849
82070024,Deutsche Bank PGK Sonneberg,DEUTDEDB850
82070024,Deutsche Bank PGK Waltersha,DEUTDEDB851
86070024,Deutsche Bank PGK Halle,DEUTDEDB860
86070024,Deutsche Bank PGK Altenburg,DEUTDEDB861
86070024,Deutsche Bank PGK Aschersle,DEUTDEDB862
86070024,Deutsche Bank PGK Bernburg,DEUTDEDB863
86070024,Deutsche Bank PGK Bitterfel,DEUTDEDB864
86070024,Deutsche Bank PGK Borna,DEUTDEDB865
86070024,Deutsche Bank PGK Delitzsch,DEUTDEDB866
86070024,Deutsche Bank PGK Dessau,DEUTDEDB867
86070024,Deutsche Bank PGK Döbeln,DEUTDEDB868
86070024,Deutsche Bank PGK Eilenburg,DEUTDEDB869
87070024,Deutsche Bank PGK Dresden,DEUTDEDB870
87070024,Deutsche Bank PGK Annaberg,DEUTDEDB871
87070024,Deutsche Bank PGK Aue,DEUTDEDB872
87070024,Deutsche Bank PGK Auerbach,DEUTDEDB873
87070024,Deutsche Bank PGK Bautzen,DEUTDEDB874
87070024,Deutsche Bank PGK Burgstädt,DEUTDEDB875
87070024,Deutsche Bank PGK Coswig,DEUTDEDB876
87070024,Deutsche Bank PGK Crimmitsc,DEUTDEDB877
87070024,Deutsche Bank PGK Frankenb,DEUTDEDB878
87070024,Deutsche Bank PGK Freiberg,DEUTDEDB879
87070024,Deutsche Bank PGK Freital,DEUTDEDB880
87070024,Deutsche Bank PGK Glauchau,DEUTDEDB881
87070024,Deutsche Bank PGK Görlitz,DEUTDEDB882
87070024,Deutsche Bank PGK Großenhai,DEUTDEDB883
87070024,Deutsche Bank PGK Heidenau,DEUTDEDB884
87070024,Deutsche Bank PGK Hohenst-E,DEUTDEDB885
87070024,Deutsche Bank PGK Hoyerswer,DEUTDEDB886
87070024,Deutsche Bank PGK Kamenz,DEUTDEDB887
87070024,Deutsche Bank PGK Klingenth,DEUTDEDB888
87070024,Deutsche Bank PGK Lichtenst,DEUTDEDB889
87070024,Deutsche Bank PGK Limbach-O,DEUTDEDB890
87070024,Deutsche Bank PGK Löbau,DEUTDEDB891
87070024,Deutsche Bank PGK Marienber,DEUTDEDB892
87070024,Deutsche Bank PGK Meerane,DEUTDEDB893
87070024,Deutsche Bank PGK Meißen,DEUTDEDB894
87070024,Deutsche Bank PGK Mittweida,DEUTDEDB895
87070024,Deutsche Bank PGK Niesky,DEUTDEDB896
87070024,Deutsche Bank PGK Oberwiese,DEUTDEDB897
87070024,Deutsche Bank PGK Pirna,DEUTDEDB898
87070024,Deutsche Bank PGK Plauen,DEUTDEDB899
87070024,Deutsche Bank PGK Radeberg,DEUTDEDB900
87070024,Deutsche Bank PGK Radebeul,DEUTDEDB901
87070024,Deutsche Bank PGK Reichenba,DEUTDEDB902
87070024,Deutsche Bank PGK Riesa,DEUTDEDB903
87070024,Deutsche Bank PGK Schneeber,DEUTDEDB905
87070024,Deutsche Bank PGK Schwarzen,DEUTDEDB906
87070024,Deutsche Bank PGK Stollbg,DEUTDEDB907
87070024,Deutsche Bank PGK Werdau,DEUTDEDB908
87070024,Deutsche Bank PGK Zittau,DEUTDEDB909
87070024,Deutsche Bank PGK Zwickau,DEUTDEDB910
26570024,Deutsche Bank PGK Bad Iburg,DEUTDEDB921
26570024,Deutsche Bank PGK Bramsche,DEUTDEDB922
26570024,Deutsche Bank PGK Georgsmar,DEUTDEDB923
26570024,Deutsche Bank PGK Lengerich,DEUTDEDB924
26570024,Deutsche Bank PGK Quakenbrü,DEUTDEDB925
26770024,Deutsche Bank PGK Lingen,DEUTDEDB926
26770024,Deutsche Bank PGK Meppen,DEUTDEDB927
26770024,Deutsche Bank PGK Schüttorf,DEUTDEDB928
26870024,Deutsche Bank PGK Clausthal,DEUTDEDB929
27070024,Deutsche Bank PGK Herzberg,DEUTDEDB930
25070024,Deutsche Bank PGK Laatzen,DEUTDEDB931
25070024,Deutsche Bank PGK Langenhag,DEUTDEDB932
25070024,Deutsche Bank PGK Munster,DEUTDEDB933
26870024,Deutsche Bank PGK Seesen,DEUTDEDB934
32070024,Deutsche Bank PGK Tönisvors,DEUTDEDB936
37070024,Deutsche Bank PGK Bergheim,DEUTDEDB938
37070024,Deutsche Bank PGK Dormagen,DEUTDEDB939
37070024,Deutsche Bank PGK Euskirche,DEUTDEDB940
37070024,Deutsche Bank PGK Hennef,DEUTDEDB941
38070024,Deutsche Bank PGK Remagen,DEUTDEDB942
38070024,Deutsche Bank PGK Bad Neuen,DEUTDEDB943
38070024,Deutsche Bank PGK Bad Honne,DEUTDEDB944
38070024,Deutsche Bank PGK Rheinbach,DEUTDEDB945
38070024,Deutsche Bank PGK Meckenhei,DEUTDEDB946
39070024,Deutsche Bank PGK Würselen,DEUTDEDB947
39070024,Deutsche Bank PGK Heinsberg,DEUTDEDB948
40070024,Deutsche Bank PGK Coesfeld,DEUTDEDB949
40070024,Deutsche Bank PGK Dülmen,DEUTDEDB950
40070024,Deutsche Bank PGK Greven,DEUTDEDB951
40070024,Deutsche Bank PGK Steinfurt,DEUTDEDB952
44570024,Deutsche Bank PGK Werdohl,DEUTDEDB953
44570024,Deutsche Bank PGK Hemer,DEUTDEDB954
44570024,Deutsche Bank PGK Menden,DEUTDEDB955
44570024,Deutsche Bank PGK Neuenrade,DEUTDEDB956
47670024,Deutsche Bank PGK Blomberg,DEUTDEDB957
47270024,Deutsche Bank PGK Höxter,DEUTDEDB958
47670024,Deutsche Bank PGK Horn-Bad,DEUTDEDB959
47670024,Deutsche Bank PGK Lage Lipp,DEUTDEDB960
46670024,Deutsche Bank PGK Arnsberg,DEUTDEDB961
46070024,Deutsche Bank PGK Altenkirc,DEUTDEDB962
46070024,Deutsche Bank PGK Attendorn,DEUTDEDB963
46070024,Deutsche Bank PGK Lennestad,DEUTDEDB964
46070024,Deutsche Bank PGK Schmallen,DEUTDEDB965
46070024,Deutsche Bank PGK Kreuztal,DEUTDEDB966
46070024,Deutsche Bank PGK Haiger,DEUTDEDB967
66470024,Deutsche Bank PGK Offenburg,DEUTDEDB968
66470024,Deutsche Bank PGK Kehl,DEUTDEDB969
66470024,Deutsche Bank PGK Haslach,DEUTDEDB970
66470024,Deutsche Bank PGK Oberkirch,DEUTDEDB971
86070024,Deutsche Bank PGK Eisleben,DEUTDEDB973
86070024,Deutsche Bank PGK Grimma,DEUTDEDB974
86070024,Deutsche Bank PGK Hettstedt,DEUTDEDB975
86070024,Deutsche Bank PGK Köthen,DEUTDEDB976
86070024,Deutsche Bank PGK Markkleeb,DEUTDEDB977
86070024,Deutsche Bank PGK Merseburg,DEUTDEDB978
86070024,Deutsche Bank PGK Naumburg,DEUTDEDB980
86070024,Deutsche Bank PGK Oschatz,DEUTDEDB981
86070024,Deutsche Bank PGK Quedlinbu,DEUTDEDB982
86070024,Deutsche Bank PGK Sangerhau,DEUTDEDB983
86070024,Deutsche Bank PGK Schkeudit,DEUTDEDB984
86070024,Deutsche Bank PGK Taucha,DEUTDEDB985
86070024,Deutsche Bank PGK Torgau,DEUTDEDB986
86070024,Deutsche Bank PGK Weißenfel,DEUTDEDB987
86070024,Deutsche Bank PGK Wittenbg,DEUTDEDB988
86070024,Deutsche Bank PGK Wolfen,DEUTDEDB989
86070024,Deutsche Bank PGK Wurzen,DEUTDEDB990
86070024,Deutsche Bank PGK Zeitz,DEUTDEDB991
10070024,Deutsche Bank PGK Berlin,DEUTDEDBBER
48070024,Deutsche Bank PGK Bielefeld,DEUTDEDBBIE
29070024,Deutsche Bank PGK Bremen,DEUTDEDBBRE
87070024,Deutsche Bank PGK Chemnitz,DEUTDEDBCHE
30070024,Deutsche Bank PGK Düsseldor,DEUTDEDBDUE
82070024,Deutsche Bank PGK Erfurt,DEUTDEDBERF
36070024,Deutsche Bank PGK Essen,DEUTDEDBESS
50070024,Deutsche Bank PGK Frankfurt,DEUTDEDBFRA
68070024,Deutsche Bank PGK Freiburg,DEUTDEDBFRE
20070024,Deutsche Bank PGK Hamburg,DEUTDEDBHAM
25070024,Deutsche Bank PGK Hannover,DEUTDEDBHAN
37070024,Deutsche Bank PGK Köln,DEUTDEDBKOE
86070024,Deutsche Bank PGK Leipzig,DEUTDEDBLEG
81070024,Deutsche Bank PGK Magdeburg,DEUTDEDBMAG
55070024,Deutsche Bank PGK Mainz,DEUTDEDBMAI
