Branchcode,Branchname,Bic
51220800,Banco do Brasil Frankfurt,BRASDEFFXXX
28350000,Spk Aurich-Norden,BRLADE21ANO
29250150,Kr Spk Wesermünde-Hadeln,BRLADE21BRK
29250000,Spk Bremerhaven,BRLADE21BRS
24150001,St Spk Cuxhaven,BRLADE21CUX
25651325,Kr Spk Diepholz,BRLADE21DHZ
28450000,Sparkasse Emden,BRLADE21EMD
28550000,Sparkasse LeerWittmund,BRLADE21LER
28050100,Landessparkasse Oldenburg,BRLADE21LZO
29152300,Kr Spk Osterholz,BRLADE21OHZ
24151235,Spk Rotenburg-Bremervörde,BRLADE21ROB
29152550,Spk Scheeßel,BRLADE21SHL
29151700,Kreissparkasse Syke,BRLADE21SYK
29152670,Kr Spk Verden,BRLADE21VER
28250110,Sparkasse Wilhelmshaven,BRLADE21WHV
28252760,Kr Spk Wittmund,BRLADE21WTM
29050000,Bremer Landesbank Oldenburg,BRLADE22OLD
29050000,Bremer Landesbank Bremen,BRLADE22XXX
66350036,Spk Kraichgau,BRUSDE66XXX
50320500,Banco Santander Ffm,BSCHDEFFXXX
79032038,Bank Schilling Hammelburg,BSHADE71XXX
62220000,Bauspk Schwäbisch Hall,BSHHDE61XXX
51220400,Bank Saderat Iran Frankfurt,BSIRDEFFXXX
20210300,Bank Saderat Iran Hamburg,BSIRDEHHXXX
52420000,Credit Agricole Deutschland,BSUIDEFFXXX
60033000,Wüstenrot Bausparkasse,BSWLDE61XXX
72012300,BTV Zndl Deutschland,BTVADE61XXX
70011700,Bankhaus von der Heydt,BVDHDEMMXXX
70013155,BV Werther (Gf TRAXPAY),BVWBDE2TRAX
70013100,Payment Services BV Werther,BVWBDE2WXXX
70013199,Payment Services BV Werther,BVWBDE2WXXX
76050000,BayernLB Nürnberg,BYLADE77XXX
12030000,Deutsche Kreditbank Berlin,BYLADEM1001
75250000,Sparkasse Amberg-Sulzbach,BYLADEM1ABG
72051210,St Spk Aichach,BYLADEM1AIC
73350000,Sparkasse Allgäu,BYLADEM1ALG
73351635,Sparkasse Riezlern,BYLADEM1ALR
76550000,Ver Spk Ansbach,BYLADEM1ANS
71051010,Kr Spk Altötting-Burgh-alt-,BYLADEM1AOE
79550000,Spk Aschaffenburg Alzenau,BYLADEM1ASA
72050101,Kr Spk Augsburg,BYLADEM1AUG
71151240,Kr Spk Bad Aibling -alt-,BYLADEM1BAB
71050000,Spk Berchtesgadener Land,BYLADEM1BGL
74251020,Spk im Landkreis Cham,BYLADEM1CHM
78350000,Spk Coburg-Lichtenfels,BYLADEM1COB
70051540,Sparkasse Dachau,BYLADEM1DAH
74150000,Spk Deggendorf,BYLADEM1DEG
74351310,Spk Dingolfing-Landau -alt-,BYLADEM1DGF
76551020,Kr u St Spk Dinkelsbühl,BYLADEM1DKB
72251520,Kr u St Spk Dillingen,BYLADEM1DLG
72250160,Spk Donauwörth,BYLADEM1DON
70051805,Kr Spk München Starnbg Ebbg,BYLADEM1EBE
74351430,Spk Rottal-Inn Eggenfelden,BYLADEM1EGF
72151340,Sparkasse Eichstätt,BYLADEM1EIS
70051995,Spk Erding-Dorfen,BYLADEM1ERD
76350000,St u Kr Spk Erlangen,BYLADEM1ERH
75351960,Ver Spk Eschenbach,BYLADEM1ESB
70053070,Spk Fürstenfeldbruck,BYLADEM1FFB
78055050,Spk Hochfranken -alt-,BYLADEM1FIG
76351040,Sparkasse Forchheim,BYLADEM1FOR
74051230,Spk Freyung-Grafenau,BYLADEM1FRG
70051003,Sparkasse Freising,BYLADEM1FSI
70350000,Kr Spk Garmisch-Partenkirch,BYLADEM1GAP
76551540,Ver Spk Gunzenhausen,BYLADEM1GUN
72051840,Spk Günzburg-Krumbach,BYLADEM1GZK
79351730,Spk Ostunterfranken,BYLADEM1HAS
78050000,Spk Hochfranken,BYLADEM1HOF
76351560,Kr Spk Höchstadt,BYLADEM1HOS
72150000,Sparkasse Ingolstadt,BYLADEM1ING
75051565,Kreissparkasse Kelheim,BYLADEM1KEH
73450000,Kr u St Spk Kaufbeuren,BYLADEM1KFB
79351010,Spk Bad Kissingen,BYLADEM1KIS
70250150,Kr Spk München Starnbg Ebbg,BYLADEM1KMS
79350101,Sparkasse Schweinfurt,BYLADEM1KSW
77150000,Spk Kulmbach-Kronach,BYLADEM1KUB
74350000,Spk Landshut,BYLADEM1LAH
70052060,Spk Landsberg-Dießen,BYLADEM1LLD
71151020,Spk Altötting-Mühldorf,BYLADEM1MDF
71152570,Kr Spk Miesbach-Tegernsee,BYLADEM1MIB
79650000,Spk Miltenberg-Obernburg,BYLADEM1MIL
73150000,Spk Memmingen-Lindau-Mindel,BYLADEM1MLM
74351740,St u Kr Spk Moosburg,BYLADEM1MSB
76251020,Spk i Landkreis Neustadt,BYLADEM1NEA
